Year of last filed report / L'année de la déclaration la plus récente;NPRI ID / ID INRP;Company Name / Raison Sociale;Facility Name / Nom de l'installation;Address line 1 / Première ligne d’adresse;Address line 2 / Deuxième ligne d’adresse;City / Ville;Province / Province;Postal Code / Code postal;Physical Land Survey Description / Description de l'arpentage;Physical National Topographical Description / Description topographique nationale;Latitude / Latitude;Longitude / Longitude;Datum / Datum;Key Industrial Sector Code / Code des Secteurs industriels clés;Key Industrial Sector (English) / Secteurs industriels clés (Anglais);Key Industrial Sector (French) / Secteurs industriels clés (Français);Census Sub Division Unique ID / No unique de la Subdivision de recensement (SDR);Census Sub Division / Nom de la Subdivision de recensement (SDR);Census Metropolitan Area Unique ID / No unique de la Région métropolitaine de recensement;Census Metropolitan Area / Nom de la Région métropolitaine de recensement;Economic Region Unique ID / No unique de la Région économique;Economic Region Name / Nom de la  Région économique;Unique Ecozone ID / No unique de l’Écozone;English Ecozone Name / Nom englais de l’Écozone;French Ecozone Name / Nom français de l’Écozone;Unique ID of the Major Drainage Area from the Water Survey of Canada (WSC) / No unique de l’aire de drainage principale des Relevés hydrologiques du Canada (RHC);Major Drainage Area English Name / Nom englais de l’aire de drainage principale ;Major Drainage Area French Name / Nom français de l’aire de drainage principale 
2014;188;Fonderie générale du Canada;Fonderie Générale du Canada, XStrata Zinc Canada;1400  Norman Rue;;Lachine;QC;H8S1A8;;;45.4483;-73.6744;1983;7;Metals (Except Aluminum and Iron and Steel);Métaux (sauf aluminium et fer et acier);2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;211;Ville de Québec;Incinérateur;900 Industrielle;;Québec;QC;G1J3V9;;;46.8318;-71.224;1983;17;Waste Treatment and Disposal;Traitement et élimination des déchets;2423027;Québec;421;Québec;2420;Capitale-Nationale;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;214;Vibac Canada Inc.;Vibac du Canada;12250 industriel;;Montréal;QC;H1B5M5;;;45.6483;-73.5172;1983;3;Chemicals;Produits chimiques;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;252;Dural, a Division of Multibond Inc;Dural Plant div Multibond.;550 Marshall Avenue;;Dorval;QC;H9P1C9;;;45.4501;-73.7363;1983;3;Chemicals;Produits chimiques;2466087;Dorval;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2011;253;DURO-KOTE LTÉE;DURO-KOTE LTÉE;3020 Le Corbusier;;Laval;QC;H7L3W2;;;45.5842;-73.7533;1983;3;Chemicals;Produits chimiques;2465005;Laval;462;Montréal;2445;Laval;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;254;Duro-Lak inc;Duro-Lak inc;3020 Le Corbusier;;Laval;QC;H7L3W2;;;45.5849;-73.7518;1983;3;Chemicals;Produits chimiques;2465005;Laval;462;Montréal;2445;Laval;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;257;Lavo Inc.;Lavo Inc.;11900 Saint-Jean Baptiste Boulevard;;Montréal;QC;H1C2J3;;;45.6572;-73.5398;1983;3;Chemicals;Produits chimiques;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;375;Harbour Indusries (Canada) Ltd.;Harbour industrie Canada;1365 Industriel Boulevard;;Farnham;QC;J2N2X3;;;45.2928;-72.9617;1983;6;Other Manufacturing;Autres fabrication;2446112;Farnham;;;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;390;Héroux-Devtek Inc.;Division Trains d'atterrissage, Longueuil;755 Thurber;;Longueuil;QC;J4H3N2;;;45.537;-73.4973;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2458227;Longueuil;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2008;391;BASELL CANADA;VARENNES PLANT;3360 chemin de la Baronnie;;Varennes;QC;J3X1T6;;;45.6977;-73.4151;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2459020;Varennes;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2008;271;EMBALLAGES SMURFIT-STONE CANADA;USINE PONTIAC;211 route 301;;Portage-du-Fort;QC;J0X2T0;;;45.5917;-76.6625;1983;14;Pulp and Paper;Pâte à papier et papier;2484020;Portage-du-Fort;;;2460;Outaouais;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;279;FORTRESS GLOBAL CELLULOSE;FORTRESS GLOBAL CELLULOSE;30 Du moulin Chemin;;Lebel-sur-Quévillon;QC;J0Y1X0;;;49.0254;-76.9538;1983;14;Pulp and Paper;Pâte à papier et papier;2499005;Lebel-sur-Quévillon;;;2490;Nord-du-Québec;6;Boreal Shield;Bouclier boréal;3;Northern Québec and Labrador Drainage Area;Aire de drainage du Nord du Québec et du Labrador
2014;281;Dow Chemical Canada ULC;Varennes Facility;0 - 4445 boul. Marie Victorin;;Varennes;QC;J3X1T3;;;45.7317;-73.4033;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2459020;Varennes;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2011;284;DUOCHEM INC.;DUOCHEM - BOUCHERVILLE;1250 Graham Bell;;Boucherville;QC;J4B6H5;;;45.5641;-73.4406;1983;3;Chemicals;Produits chimiques;2458033;Boucherville;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;302;AkzoNobel Pâte et performance Canada inc;Usine de Magog;1900 St-Patrice;;Magog;QC;J1X3W5;;;45.2751;-72.1128;1983;3;Chemicals;Produits chimiques;2445072;Magog;433;Sherbrooke;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;322;General Dynamics OTS- Canada Valleyfield Inc.;General Dynamic OTS-Canada Valleyfield Inc.;55 Masson;;Salaberry-de-Valleyfield;QC;J6S4V9;;;45.2867;-74.0717;1983;3;Chemicals;Produits chimiques;2470052;Salaberry-de-Valleyfield;465;Salaberry-de-Valleyfield;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2008;330;FEROX INC.;USINE D'ANJOU;9100 Edison;;Anjou;QC;H1J1T3;;;45.6118;-73.5678;1983;3;Chemicals;Produits chimiques;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;358;GLOPAK, DIVISION OF;USINE;4755  des Grandes Prairies;;Montréal;QC;H1R1A6;;;45.5883;-73.62;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2003;359;GOODFELLOW INC.;ST. ANDRE;4, rue Du Moulin;C.P. 30;St-Andre d'Argenteuil;QC;J0V 1X0;;;45.5653;-74.3361;1983;19;Wood Products;Produits en bois;2476008;Saint-André-d'Argenteuil;;;2455;Laurentides;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;360;Goodfellow Inc.;Goodfellow, DELSON;225 Goodfellow;;Delson;QC;J5B1V5;;;45.3651;-73.5366;1983;19;Wood Products;Produits en bois;2467025;Delson;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;373;DEANE & CIE INC.;DEANE ET COMPAGNIE;190 Oneida Promenade;;Pointe-Claire;QC;H9R1A8;;;45.4749;-73.8113;1983;3;Chemicals;Produits chimiques;2466097;Pointe-Claire;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;447;Diageo Canada Inc.;Usine de Valleyfield;1 Salaberry;;Salaberry-de-Valleyfield;QC;J6T2G9;;;45.2561;-74.1197;1983;6;Other Manufacturing;Autres fabrication;2470052;Salaberry-de-Valleyfield;465;Salaberry-de-Valleyfield;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;449;Ifastgroupe;INFASCO;700 Ouellette;;Marieville;QC;J3M1P6;;;45.431;-73.1673;1983;5;Iron and Steel;Fer et acier;2455048;Marieville;;;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2010;465;MINE JEFFREY;MINE JEFFREY;2 rue Du Carmel Street;;Danville;QC;J0A1A0;;;45.7733;-71.9532;1983;8;Mining and Quarrying;Extraction minière et exploitation en carrière;2440043;Asbestos;;;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2003;541;CROWN METAL PACKAGING CANADA LP;CROWN METAL PACKAGING CANADA LP - PLANT 246;5789 Cypihot;;St. Laurenet;QC;H4S 1R3;;;45.4975;-73.7551;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2009;554;CROWN METAL PACKAGING CANADA LP;CROWNC METAL PACKAGING CANADA - PLANT 234 MONTREAL;10000 Meilleur Street;;Montréal;QC;H3L3J7;;;45.5402;-73.6658;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;594;Diversey Canada Inc.;Candiac;110 Boulevard Montcalm;;Candiac;QC;J5R3L9;;;45.3945;-73.5183;1983;3;Chemicals;Produits chimiques;2467020;Candiac;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;639;Hanson Brick;Hanson Brick, St Lawrence Plant;950  Godin Road;;La Prairie;QC;J5R3Y1;;;45.4062;-73.4942;1983;2;Cement, Lime and Other Non-Metallic Minerals;Ciment, chaux et autres produits minéraux non métalliques;2467015;La Prairie;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;705;Lallemand Inc.;USINE MONTREAL;1620 Préfontaine;;Montréal;QC;H1W2N8;;;45.5389;-73.5447;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;716;Locweld Inc.;LOCWELD - CANDIAC;50  Iberville Avenue;;Candiac;QC;J5R1J5;;;45.3968;-73.5247;1983;6;Other Manufacturing;Autres fabrication;2467020;Candiac;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;721;Macco Organicques Inc.;Usine de Valleyfield;100  McArthur;;Valleyfield;QC;J6S4M5;;;45.2624;-74.1039;1983;3;Chemicals;Produits chimiques;2470052;Salaberry-de-Valleyfield;465;Salaberry-de-Valleyfield;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;729;Mapei Inc.;MAPEI Inc.;2900 Francis-Hughes;;Laval;QC;H7L3J5;;;45.5908;-73.7358;1983;3;Chemicals;Produits chimiques;2465005;Laval;462;Montréal;2445;Laval;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2009;747;STATOILHYDRO;STATOILHYDRO CANADA LTD;7000 boul. Raoul-Duchesne;;Bécancour;QC;G9H2V3;;;46.3714;-72.402;1983;7;Metals (Except Aluminum and Iron and Steel);Métaux (sauf aluminium et fer et acier);2438010;Bécancour;442;Trois-Rivières;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;752;NOVA CHEMICALS;USINE DE MONTRÉAL;11625 est, rue Sherbrooke;;Montréal;QC;H1B5L9;;;45.6389;-73.5133;1983;3;Chemicals;Produits chimiques;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;758;Uniboard Canada Inc;Uniboard Canada inc, usine Mont-Laurier;0 - 845 Jean -Baptisite -Reid;;Mont-Laurier;QC;J9L3W3;;;46.555;-75.4756;1983;19;Wood Products;Produits en bois;2479088;Mont-Laurier;;;2455;Laurentides;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;773;Cables PTI Cables Inc.;CABLES PTI CABLES - POINTE  CLAIRE;91  Hymus Boulevard;;Pointe-Claire;QC;H9R1E2;;;45.4704;-73.8021;1983;6;Other Manufacturing;Autres fabrication;2466097;Pointe-Claire;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;781;Rechochem Inc.;ST LAURENT;850 Montee De Liesse;;St-Laurent;QC;H4T 1P4;;;45.483;-73.7142;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;787;Napierville Refineries Inc.;Napierville;175  de l'église;;Napierville;QC;J0J 1L0;;;45.25;-73.4167;1983;3;Chemicals;Produits chimiques;2468040;Saint-Jacques-le-Mineur;;;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;796;RSM RICHTER - SYNDIC FAILLITE DE ALERIS CANADA S.E.C.;ALERIS S.E.C. - TROIS-RIVIÈRES;290 St-Laurent;;Trois-Rivières;QC;G8T7W9;;;46.3697;-72.5194;1983;1;Aluminum;Aluminium;2437067;Trois-Rivières;442;Trois-Rivières;2470;Mauricie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;813;Sani-Marc Inc;SANI-MARC INC.;42 DE L'ARTISAN;;Victoriaville;QC;G6P7E3;;;46.0745;-71.9575;1983;3;Chemicals;Produits chimiques;2439062;Victoriaville;440;Victoriaville;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2006;867;MERCK FROSST CANADA;MERCK FROSST CANADA - KIRKLAND;16711 Trans Canada Hwy.;;Kirkland;QC;H9H3L1;;;45.4577;-73.8449;1983;;;;2466102;Kirkland;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;879;BARRICK GOLD CORPORATION;COMPLEXE BOUSQUET- DIVISION EST-MALARTIC;Route 117;;Malartic;QC;J0Y 1Z0;;;48.1292;-78.096;1983;8;Mining and Quarrying;Extraction minière et exploitation en carrière;2489015;Malartic;;;2465;Abitibi - Témiscamingue;6;Boreal Shield;Bouclier boréal;4;Southwestern Hudson Bay Drainage Area;Aire de drainage du sud-ouest de la baie d'Hudson
2014;929;Produits forestiers Résolu;Usine de Gatineau;79 Main;;Gatineau;QC;J8P4X6;;;45.4808;-75.6556;1983;14;Pulp and Paper;Pâte à papier et papier;2481017;Gatineau;505;Ottawa - Gatineau;2460;Outaouais;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;935;Bombardier Produits Récréatifs Inc.;Complexe A;565  de la Montagne;;Valcourt;QC;J0E2L0;;;45.4917;-72.3083;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2442055;Valcourt;;;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2003;938;BOEHME FILATEX CANADA INC;;178 rue St-Pierre;;St-Jean-sur-Richelieu;QC;J3B 5W4;;;45.3051;-73.262;1983;3;Chemicals;Produits chimiques;2456083;Saint-Jean-sur-Richelieu;459;Saint-Jean-sur-Richelieu;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;959;Nexans Canada Inc.;Usine de coulée continue de Montréal-Est;460 Durocher Avenue;;Montréal-Est;QC;H1B5H6;;;45.6291;-73.5132;1983;7;Metals (Except Aluminum and Iron and Steel);Métaux (sauf aluminium et fer et acier);2466007;Montréal-Est;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2008;965;NEXANS CANADA INC;QUEBEC CITY FACILITY;1081 Boul Pierre Bertrand;;Ville Vanier;QC;G1M2E8;;;46.775;-71.2583;1983;6;Other Manufacturing;Autres fabrication;2423027;Québec;421;Québec;2420;Capitale-Nationale;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;979;Produits forestiers Résolu;Usine Kénogami;3750 de Champlain;;Jonquière;QC;G7S5J7;;;48.4289;-71.2437;1983;14;Pulp and Paper;Pâte à papier et papier;2494068;Saguenay;408;Saguenay;2475;Saguenay - Lac-Saint-Jean;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;983;Produits forestiers Résolu;Division Alma;1100 Melanion Rue;;Alma;QC;G8B5W2;;;48.565;-71.6558;1983;14;Pulp and Paper;Pâte à papier et papier;2493042;Alma;410;Alma;2475;Saguenay - Lac-Saint-Jean;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2009;987;ABITIBI CONSOLIDATED DU CANADA;LA COMPAGNIE ABITIBI CONSOLIDATED DU CANADA, DIVISION BEAUPR;1, rue du moulin;;Beaupré;QC;G0A1E0;;;47.0429;-70.8795;1983;14;Pulp and Paper;Pâte à papier et papier;2421025;Beaupré;;;2420;Capitale-Nationale;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;1012;Air Canada;Quebec International Airport;505 Principale Street;;Quebec;QC;G2G0J4;;;46.7914;-71.3884;1983;11;Other (Except Manufacturing);Autres (sauf fabrication);2423027;Québec;421;Québec;2420;Capitale-Nationale;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;1071;Aluminerie de Bécancour inc.;Aluminerie de Bécancour inc.;5555 Pierre Thibault;;Bécancour;QC;G9H2T7;;;46.3829;-72.3874;1983;1;Aluminum;Aluminium;2438010;Bécancour;442;Trois-Rivières;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;1083;Produits American Biltrite Ltée;PRODUITS AMERICAN BILTRITE LTEE. - SHERBROOKE;200 Bank Rue;;Sherbrooke;QC;J1H4K3;;;45.4052;-71.8946;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2443027;Sherbrooke;433;Sherbrooke;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;1099;HALL-CHEM MFG INC.;BOUCHERVILLE;1270 Nobel Street;;Boucherville;QC;J4B5H1;;;45.5698;-73.4379;1983;3;Chemicals;Produits chimiques;2458033;Boucherville;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2013;1117;GENERAL PAINT CORP.;SHAWINIGAN;5230 Royal Boulevard;;Shawinigan;QC;G9N4R6;;;46.5698;-72.7258;1983;3;Chemicals;Produits chimiques;2436033;Shawinigan;444;Shawinigan;2470;Mauricie;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
